TotalAmount;BikePurchase;CustomerID;Country;CountryRegionCode;Group;PersonID;PersonType;DateFirstPurchase;yearpurchase;monthpurchase;daypurchase;BirthDate;Age;MaritalStatus;YearlyIncome;Gender;TotalChildren;Education;Occupation;HomeOwnerFlag;NumberCarsOwned
81,26;0;11012;Northwest;US;North America;11663;IN;2003-09-17 00:00:00.000;2003;9;17;1968-01-18 00:00:00.000;53;M;75001-100000;F;2;Bachelors ;Management;1;2
113,96;0;11013;Northwest;US;North America;13873;IN;2003-10-15 00:00:00.000;2003;10;15;1968-08-06 00:00:00.000;53;M;75001-100000;M;2;Bachelors ;Management;1;3
138,45;0;11014;Northwest;US;North America;2868;IN;2003-09-24 00:00:00.000;2003;9;24;1968-05-09 00:00:00.000;53;S;75001-100000;F;3;Bachelors ;Management;0;3
882,7;0;11019;Canada;CA;North America;5132;IN;2003-08-16 00:00:00.000;2003;8;16;1978-03-07 00:00:00.000;43;S;25001-50000;M;0;High School;Skilled Manual;0;2
122,24;0;11023;Southwest;US;North America;4373;IN;2003-08-21 00:00:00.000;2003;8;21;1978-10-11 00:00:00.000;43;M;25001-50000;M;0;Partial College;Skilled Manual;1;1
56,51;0;11024;Southwest;US;North America;16843;IN;2003-12-29 00:00:00.000;2003;12;29;1978-09-17 00:00:00.000;43;M;50001-75000;M;0;Partial College;Skilled Manual;1;2
47,98;0;11043;Southwest;US;North America;5960;IN;2003-11-09 00:00:00.000;2003;11;9;1976-02-24 00:00:00.000;45;M;50001-75000;M;0;Partial College;Skilled Manual;1;2
114,96;0;11045;Australia;AU;Pacific;5225;IN;2003-10-12 00:00:00.000;2003;10;12;1950-05-19 00:00:00.000;71;S;25001-50000;M;3;High School;Skilled Manual;0;2
81,26;0;11049;Southwest;US;North America;8749;IN;2003-09-10 00:00:00.000;2003;9;10;1980-07-18 00:00:00.000;41;S;25001-50000;F;0;Partial High School;Clerical;1;2
123,95;0;11051;Australia;AU;Pacific;18655;IN;2004-07-01 00:00:00.000;2004;7;1;1951-08-04 00:00:00.000;70;S;25001-50000;M;3;High School;Skilled Manual;0;2
116,93;0;11059;Australia;AU;Pacific;8960;IN;2003-08-22 00:00:00.000;2003;8;22;1954-04-01 00:00:00.000;67;S;75001-100000;F;2;Partial College;Skilled Manual;1;2
202,57;0;11065;Southwest;US;North America;3510;IN;2003-08-14 00:00:00.000;2003;8;14;1973-10-09 00:00:00.000;48;M;50001-75000;F;0;Partial College;Skilled Manual;0;2
81,26;0;11066;Northwest;US;North America;19662;IN;2003-12-02 00:00:00.000;2003;12;2;1973-11-27 00:00:00.000;48;M;50001-75000;F;0;Partial College;Professional;1;2
105,75;0;11067;Northwest;US;North America;16424;IN;2004-02-19 00:00:00.000;2004;2;19;1976-09-25 00:00:00.000;45;S;50001-75000;M;0;Partial College;Professional;1;2
113,36;0;11068;Australia;AU;Pacific;2676;IN;2003-11-01 00:00:00.000;2003;11;1;1955-09-23 00:00:00.000;66;S;75001-100000;F;2;High School;Skilled Manual;1;2
110,23;0;11071;Australia;AU;Pacific;13827;IN;2003-09-02 00:00:00.000;2003;9;2;1955-06-26 00:00:00.000;66;S;75001-100000;F;2;High School;Skilled Manual;1;2
191,9;0;11073;Australia;AU;Pacific;20712;IN;2003-09-24 00:00:00.000;2003;9;24;1956-08-14 00:00:00.000;65;S;50001-75000;F;2;High School;Skilled Manual;1;2
